TestCase	Operationalization	ModelSize	TGG	ExecutionTime	InitTime	ExecutionRank	InitRank
0311-0428	FWD_OPT	1000	BlockCodeAdapter	2.169534528E9	2.79156439E9	2	5
0309-1931	FWD_OPT	1000	BlockCodeAdapter	2.013349476E9	2.84488831E9	1	6
0308-0220	FWD_OPT	1000	BlockCodeAdapter	3.650580471E9	2.91766106E9	8	7
0310-0436	FWD_OPT	1000	BlockCodeAdapter	2.316551519E9	2.969889379E9	4	8
0308-0220	FWD_OPT	1000	CompanyToIT	1.8925019799E10	1.727971249E9	5	1
0309-1931	FWD_OPT	1000	CompanyToIT	1.6899821847E10	1.786479813E9	3	2
0311-0428	FWD_OPT	1000	CompanyToIT	1.6126897202E10	1.792510746E9	2	3
0311-0003	FWD_OPT	1000	CompanyToIT	2.6405891696E10	1.79715657E9	8	4
0311-2111	FWD_OPT	1000	CompanyToIT	1.4020579069E10	1.83494067E9	1	5
0310-0436	FWD_OPT	1000	CompanyToIT	2.1704355118E10	1.843380042E9	6	6
0303-0631	FWD_OPT	1000	CompanyToIT	1.7470761327E10	1.870422383E9	4	7
0306-0227	FWD_OPT	1000	CompanyToIT	2.2234328895E10	1.875442816E9	7	8
0311-2111	CO	4000	FamiliesToPersons_V1	2.608707756E9	2.075894056E9	2	1
0308-0220	CO	4000	FamiliesToPersons_V1	2.8075203E9	2.09610151E9	6	2
0311-0003	CO	4000	FamiliesToPersons_V1	2.711380302E9	2.147520745E9	4	3
0303-0631	CO	4000	FamiliesToPersons_V1	2.60003404E9	2.157721972E9	1	4
0306-0227	CO	4000	FamiliesToPersons_V1	2.8072402E9	2.165445056E9	5	5
0310-0436	CO	4000	FamiliesToPersons_V1	2.818665317E9	2.172439878E9	7	6
0309-1931	CO	4000	FamiliesToPersons_V1	2.628146751E9	2.193943066E9	3	7
0311-0428	CO	4000	FamiliesToPersons_V1	2.853907128E9	2.216895508E9	8	8
0308-0220	CO	2000	CompanyToIT	2.12807277E9	2.098332909E9	2	1
0311-2111	CO	2000	CompanyToIT	2.368514704E9	2.180081713E9	8	2
0311-0003	CO	2000	CompanyToIT	2.248126104E9	2.203599488E9	6	3
0309-1931	CO	2000	CompanyToIT	2.23445633E9	2.210438223E9	5	4
0306-0227	CO	2000	CompanyToIT	2.205940788E9	2.214649998E9	4	5
0311-0428	CO	2000	CompanyToIT	2.254717239E9	2.217688771E9	7	6
0303-0631	CO	2000	CompanyToIT	2.184358488E9	2.22535669E9	3	7
0310-0436	CO	2000	CompanyToIT	2.105765201E9	2.235504463E9	1	8
0311-2111	FWD_OPT	8000	VHDLTGGCodeAdapter	1.7577168835E10	5.008263614E9	6	1
0311-0428	FWD_OPT	8000	VHDLTGGCodeAdapter	1.455952719E10	5.025340355E9	3	2
0308-0220	FWD_OPT	8000	VHDLTGGCodeAdapter	1.4226761898E10	5.060941378E9	2	3
0311-0003	FWD_OPT	8000	VHDLTGGCodeAdapter	1.5084648168E10	5.153204866E9	4	4
0309-1931	FWD_OPT	8000	VHDLTGGCodeAdapter	1.2180909613E10	5.189760798E9	1	5
0306-0227	FWD_OPT	8000	VHDLTGGCodeAdapter	1.636262874E10	5.199488634E9	5	6
0310-0436	FWD_OPT	8000	VHDLTGGCodeAdapter	3.4563508469E10	5.344719823E9	8	7
0303-0631	FWD_OPT	8000	VHDLTGGCodeAdapter	3.196299163E10	5.351736882E9	7	8
0311-0428	CO	1000	BlockCodeAdapter	3.3224595073E10	3.208471958E9	6	1
0308-0220	CO	1000	BlockCodeAdapter	2.4335427318E10	3.232796253E9	4	2
0311-2111	CO	1000	BlockCodeAdapter	2.4144119338E10	3.249523188E9	3	3
0303-0631	CO	1000	BlockCodeAdapter	2.3352495933E10	3.256157513E9	2	4
0311-0003	CO	1000	BlockCodeAdapter	1.8757725223E10	3.311069241E9	1	5
0306-0227	CO	1000	BlockCodeAdapter	4.3314563445E10	3.362299033E9	7	6
0309-1931	CO	1000	BlockCodeAdapter	3.0300582353E10	3.440137972E9	5	7
0310-0436	CO	1000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0309-1931	BWD	500	BlockDiagramCodeAdapter	1.48507298E9	3.187283082E9	2	1
0311-0003	BWD	500	BlockDiagramCodeAdapter	1.794143028E9	3.195165247E9	7	2
0306-0227	BWD	500	BlockDiagramCodeAdapter	1.898813484E9	3.218589797E9	8	3
0303-0631	BWD	500	BlockDiagramCodeAdapter	1.573872199E9	3.231832364E9	3	4
0311-0428	BWD	500	BlockDiagramCodeAdapter	1.685778663E9	3.255947972E9	5	5
0311-2111	BWD	500	BlockDiagramCodeAdapter	1.716031686E9	3.292232356E9	6	6
0310-0436	BWD	500	BlockDiagramCodeAdapter	1.479833171E9	3.360341749E9	1	7
0308-0220	BWD	500	BlockDiagramCodeAdapter	1.650517609E9	3.365599518E9	4	8
